dataset,feature,n_users,n_missing,missing_rate
dunnhumby,n_baskets,10997,0,0.0
dunnhumby,avg_basket_size,10997,0,0.0
dunnhumby,repeat_rate,10997,0,0.0
dunnhumby,item_entropy,10997,0,0.0
dunnhumby,singleton_item_share,10997,0,0.0
dunnhumby,adjacent_basket_jaccard,10997,0,0.0
dunnhumby,recency_frequency_disagreement,10997,0,0.0
dunnhumby,preference_drift,10997,2286,0.2078748749658998
dunnhumby,recent_basket_novelty,10997,0,0.0
dunnhumby,popularity_profile,10997,0,0.0
dunnhumby,frequency_popularity_alignment,10997,1389,0.12630717468400474
dunnhumby,neighbor_similarity,10997,0,0.0
dunnhumby,cooccurrence_support,10997,92,0.008365917977630262
dunnhumby,transition_predictability,10997,2,0.000181867782122397
instacart,n_baskets,10056,0,0.0
instacart,avg_basket_size,10056,0,0.0
instacart,repeat_rate,10056,0,0.0
instacart,item_entropy,10056,0,0.0
instacart,singleton_item_share,10056,0,0.0
instacart,adjacent_basket_jaccard,10056,0,0.0
instacart,recency_frequency_disagreement,10056,0,0.0
instacart,preference_drift,10056,1522,0.1513524264120923
instacart,recent_basket_novelty,10056,0,0.0
instacart,popularity_profile,10056,0,0.0
instacart,frequency_popularity_alignment,10056,319,0.03172235481304694
instacart,neighbor_similarity,10056,0,0.0
instacart,cooccurrence_support,10056,36,0.003579952267303103
instacart,transition_predictability,10056,16,0.0015910898965791568
retailrocket,n_baskets,421,0,0.0
retailrocket,avg_basket_size,421,0,0.0
retailrocket,repeat_rate,421,0,0.0
retailrocket,item_entropy,421,0,0.0
retailrocket,singleton_item_share,421,0,0.0
retailrocket,adjacent_basket_jaccard,421,293,0.6959619952494062
retailrocket,recency_frequency_disagreement,421,0,0.0
retailrocket,preference_drift,421,362,0.8598574821852731
retailrocket,recent_basket_novelty,421,293,0.6959619952494062
retailrocket,popularity_profile,421,0,0.0
retailrocket,frequency_popularity_alignment,421,391,0.9287410926365796
retailrocket,neighbor_similarity,421,0,0.0
retailrocket,cooccurrence_support,421,319,0.7577197149643705
retailrocket,transition_predictability,421,394,0.9358669833729216
sam,n_baskets,8959,0,0.0
sam,avg_basket_size,8959,0,0.0
sam,repeat_rate,8959,0,0.0
sam,item_entropy,8959,0,0.0
sam,singleton_item_share,8959,0,0.0
sam,adjacent_basket_jaccard,8959,0,0.0
sam,recency_frequency_disagreement,8959,0,0.0
sam,preference_drift,8959,3959,0.4419019979908472
sam,recent_basket_novelty,8959,0,0.0
sam,popularity_profile,8959,0,0.0
sam,frequency_popularity_alignment,8959,3028,0.3379841500167429
sam,neighbor_similarity,8959,0,0.0
sam,cooccurrence_support,8959,1126,0.1256836700524612
sam,transition_predictability,8959,1313,0.14655653532760352
taobao,n_baskets,13819,0,0.0
taobao,avg_basket_size,13819,0,0.0
taobao,repeat_rate,13819,0,0.0
taobao,item_entropy,13819,0,0.0
taobao,singleton_item_share,13819,0,0.0
taobao,adjacent_basket_jaccard,13819,0,0.0
taobao,recency_frequency_disagreement,13819,0,0.0
taobao,preference_drift,13819,4935,0.35711701280845215
taobao,recent_basket_novelty,13819,0,0.0
taobao,popularity_profile,13819,0,0.0
taobao,frequency_popularity_alignment,13819,10214,0.7391272885158116
taobao,neighbor_similarity,13819,0,0.0
taobao,cooccurrence_support,13819,5087,0.3681163615312251
taobao,transition_predictability,13819,7313,0.5291989290107822
valuedshopper,n_baskets,15190,0,0.0
valuedshopper,avg_basket_size,15190,0,0.0
valuedshopper,repeat_rate,15190,0,0.0
valuedshopper,item_entropy,15190,0,0.0
valuedshopper,singleton_item_share,15190,0,0.0
valuedshopper,adjacent_basket_jaccard,15190,0,0.0
valuedshopper,recency_frequency_disagreement,15190,0,0.0
valuedshopper,preference_drift,15190,41,0.0026991441737985516
valuedshopper,recent_basket_novelty,15190,0,0.0
valuedshopper,popularity_profile,15190,0,0.0
valuedshopper,frequency_popularity_alignment,15190,49,0.0032258064516129032
valuedshopper,neighbor_similarity,15190,0,0.0
valuedshopper,cooccurrence_support,15190,1,6.583278472679394e-05
valuedshopper,transition_predictability,15190,37,0.002435813034891376
