dataset,keyset,method_a,method_b,feature,n,rho,p_value
dunnhumby,0,recency,frequency,n_baskets,4504,-0.14281155879838206,5.909903058075428e-22
dunnhumby,0,recency,frequency,avg_basket_size,4504,-0.13449498406514251,1.2470240521221338e-19
dunnhumby,0,recency,frequency,repeat_rate,4504,-0.19902217699957606,1.8356685321769753e-41
dunnhumby,0,recency,frequency,adjacent_basket_jaccard,4504,-0.14374469659954772,3.176327434475302e-22
dunnhumby,0,recency,frequency,recency_frequency_disagreement,4504,-0.13270041848336028,3.791822426228069e-19
dunnhumby,0,recency,frequency,recent_basket_novelty,4504,0.06125590753124932,3.893348518482202e-05
dunnhumby,0,recency,frequency,popularity_profile,4504,-0.007377392929648163,0.6206143976547849
dunnhumby,0,recency,frequency,neighbor_similarity,4504,-0.05137904797704503,0.0005617006381244174
dunnhumby,0,recency,frequency,cooccurrence_support,4467,-0.01200522496017935,0.4224482700122665
dunnhumby,0,recency,frequency,transition_predictability,4503,0.05929378684460978,6.854743215110783e-05
dunnhumby,0,recency,racf,n_baskets,4504,-0.12521127805619137,3.339391369077099e-17
dunnhumby,0,recency,racf,avg_basket_size,4504,-0.13195434205502232,5.993872280985546e-19
dunnhumby,0,recency,racf,repeat_rate,4504,-0.18692661137901526,1.074246430970221e-36
dunnhumby,0,recency,racf,adjacent_basket_jaccard,4504,-0.14413318694617594,2.4498055895418744e-22
dunnhumby,0,recency,racf,recency_frequency_disagreement,4504,-0.12325037599539408,1.0329954092405245e-16
dunnhumby,0,recency,racf,recent_basket_novelty,4504,0.05094300153865365,0.0006258646242032457
dunnhumby,0,recency,racf,popularity_profile,4504,-0.007794998980346175,0.6009745885709457
dunnhumby,0,recency,racf,neighbor_similarity,4504,-0.03573334507094243,0.016474471985486485
dunnhumby,0,recency,racf,cooccurrence_support,4467,-0.004376686660395135,0.7699516829028465
dunnhumby,0,recency,racf,transition_predictability,4503,0.06288050550271507,2.4153690115678922e-05
dunnhumby,0,recency,tifuknn,n_baskets,4504,-0.1252442697944484,3.276041509488381e-17
dunnhumby,0,recency,tifuknn,avg_basket_size,4504,-0.17160306206395112,4.142828547170584e-31
dunnhumby,0,recency,tifuknn,repeat_rate,4504,-0.22803070200467426,3.2591777688977676e-54
dunnhumby,0,recency,tifuknn,adjacent_basket_jaccard,4504,-0.19072796745536374,3.6909000700920207e-38
dunnhumby,0,recency,tifuknn,recency_frequency_disagreement,4504,-0.13059510444519867,1.3711500663464886e-18
dunnhumby,0,recency,tifuknn,recent_basket_novelty,4504,0.07594469913384277,3.3476278563911056e-07
dunnhumby,0,recency,tifuknn,popularity_profile,4504,-0.0469691207969564,0.0016157432758307118
dunnhumby,0,recency,tifuknn,neighbor_similarity,4504,-0.06538230131583016,1.1261890554950069e-05
dunnhumby,0,recency,tifuknn,cooccurrence_support,4467,-0.04312934487715344,0.003937683602994218
dunnhumby,0,recency,tifuknn,transition_predictability,4503,0.02131036497603459,0.15277887484111483
dunnhumby,0,recency,triple2vec,n_baskets,4504,-0.16904906572409262,3.159800142525617e-30
dunnhumby,0,recency,triple2vec,avg_basket_size,4504,-0.09672666275590819,7.771387381665597e-11
dunnhumby,0,recency,triple2vec,repeat_rate,4504,-0.20391684438111085,1.7526809869181783e-43
dunnhumby,0,recency,triple2vec,adjacent_basket_jaccard,4504,-0.12531360943540096,3.146735247611234e-17
dunnhumby,0,recency,triple2vec,recency_frequency_disagreement,4504,-0.12233291269454212,1.7413736632344101e-16
dunnhumby,0,recency,triple2vec,recent_basket_novelty,4504,0.061063894718889185,4.11723829604122e-05
dunnhumby,0,recency,triple2vec,popularity_profile,4504,-0.017934070263732758,0.22884041576540023
dunnhumby,0,recency,triple2vec,neighbor_similarity,4504,-0.06495227286401091,1.2860580498522641e-05
dunnhumby,0,recency,triple2vec,cooccurrence_support,4467,-0.009965293773768284,0.5054962994958176
dunnhumby,0,recency,triple2vec,transition_predictability,4503,0.047192783406317294,0.0015363467359760627
dunnhumby,0,recency,sets2sets,n_baskets,4504,-0.03018464173905632,0.04280104267956359
dunnhumby,0,recency,sets2sets,avg_basket_size,4504,0.03382600080527111,0.023198794005300703
dunnhumby,0,recency,sets2sets,repeat_rate,4504,0.08822283350912917,3.016082416981448e-09
dunnhumby,0,recency,sets2sets,adjacent_basket_jaccard,4504,0.13064206550508478,1.3326968506932783e-18
dunnhumby,0,recency,sets2sets,recency_frequency_disagreement,4504,-0.07466101696231021,5.268976876365224e-07
dunnhumby,0,recency,sets2sets,recent_basket_novelty,4504,-0.13412511312538344,1.5702045823416677e-19
dunnhumby,0,recency,sets2sets,popularity_profile,4504,0.021564876977815842,0.14788984590688575
dunnhumby,0,recency,sets2sets,neighbor_similarity,4504,-0.005467213038082497,0.7137565238297365
dunnhumby,0,recency,sets2sets,cooccurrence_support,4467,0.011884601453281352,0.42712531997980097
dunnhumby,0,recency,sets2sets,transition_predictability,4503,0.08481914114285419,1.1950455034590272e-08
dunnhumby,0,recency,dnntsp,n_baskets,4504,-0.1050955797809795,1.5405552696835084e-12
dunnhumby,0,recency,dnntsp,avg_basket_size,4504,-0.1526112088001705,7.07839126321288e-25
dunnhumby,0,recency,dnntsp,repeat_rate,4504,-0.11236533831438722,3.9413979187937366e-14
dunnhumby,0,recency,dnntsp,adjacent_basket_jaccard,4504,-0.04003198756532685,0.00721073290588321
dunnhumby,0,recency,dnntsp,recency_frequency_disagreement,4504,-0.142093410743599,9.503585458274427e-22
dunnhumby,0,recency,dnntsp,recent_basket_novelty,4504,0.002585920321846936,0.8622599932364289
dunnhumby,0,recency,dnntsp,popularity_profile,4504,-0.00980246218714588,0.5107344304968726
dunnhumby,0,recency,dnntsp,neighbor_similarity,4504,-0.020723521461803594,0.1643597781910629
dunnhumby,0,recency,dnntsp,cooccurrence_support,4467,-0.020407969433218175,0.1726495493345626
dunnhumby,0,recency,dnntsp,transition_predictability,4503,0.05537249311215932,0.00020115753828827597
dunnhumby,0,frequency,racf,n_baskets,4504,0.042268266901858746,0.004551365951037663
dunnhumby,0,frequency,racf,avg_basket_size,4504,-0.02663666458971164,0.07386370513187102
dunnhumby,0,frequency,racf,repeat_rate,4504,0.02011290924831267,0.1771519215645836
dunnhumby,0,frequency,racf,adjacent_basket_jaccard,4504,-0.020288435009413294,0.17340104892150346
dunnhumby,0,frequency,racf,recency_frequency_disagreement,4504,-0.003056644518705294,0.8375091540774359
dunnhumby,0,frequency,racf,recent_basket_novelty,4504,-0.026750059490671576,0.07264274003531214
dunnhumby,0,frequency,racf,popularity_profile,4504,0.012262611318780462,0.4106393695911793
dunnhumby,0,frequency,racf,neighbor_similarity,4504,0.05338425116456675,0.00033801306859251336
dunnhumby,0,frequency,racf,cooccurrence_support,4467,0.035258473939792756,0.0184433437392288
dunnhumby,0,frequency,racf,transition_predictability,4503,0.019744875862432523,0.18526096547612028
dunnhumby,0,frequency,tifuknn,n_baskets,4504,0.04775494898358317,0.0013465842511216272
dunnhumby,0,frequency,tifuknn,avg_basket_size,4504,-0.03877139008269395,0.009260735504713262
dunnhumby,0,frequency,tifuknn,repeat_rate,4504,0.0036604144121283352,0.8059997795103645
dunnhumby,0,frequency,tifuknn,adjacent_basket_jaccard,4504,-0.03333038309012431,0.025295220654054464
dunnhumby,0,frequency,tifuknn,recency_frequency_disagreement,4504,0.009026523947330771,0.5447598890094113
dunnhumby,0,frequency,tifuknn,recent_basket_novelty,4504,0.011847298380726859,0.42667093047536186
dunnhumby,0,frequency,tifuknn,popularity_profile,4504,-0.04598083681520957,0.0020243609666118086
dunnhumby,0,frequency,tifuknn,neighbor_similarity,4504,0.00038049917012031526,0.9796330851233531
dunnhumby,0,frequency,tifuknn,cooccurrence_support,4467,-0.03335998654567483,0.025771889873094186
dunnhumby,0,frequency,tifuknn,transition_predictability,4503,-0.05004600406758915,0.0007808940327127508
dunnhumby,0,frequency,triple2vec,n_baskets,4504,-0.036652316205147216,0.0138956998918999
dunnhumby,0,frequency,triple2vec,avg_basket_size,4504,0.05363186527789278,0.00031708569293229617
dunnhumby,0,frequency,triple2vec,repeat_rate,4504,-0.007866550191043117,0.5976379211505531
dunnhumby,0,frequency,triple2vec,adjacent_basket_jaccard,4504,0.02671312020984643,0.07303865233118192
dunnhumby,0,frequency,triple2vec,recency_frequency_disagreement,4504,0.0236642715393353,0.11230115072735788
dunnhumby,0,frequency,triple2vec,recent_basket_novelty,4504,-0.010079333586673142,0.49886789555155076
dunnhumby,0,frequency,triple2vec,popularity_profile,4504,-0.011950613542349504,0.4226491262624913
dunnhumby,0,frequency,triple2vec,neighbor_similarity,4504,-0.006449632652856423,0.6652101217261857
dunnhumby,0,frequency,triple2vec,cooccurrence_support,4467,0.020846014432296764,0.16361443329063077
dunnhumby,0,frequency,triple2vec,transition_predictability,4503,-0.006267879206481563,0.6741278186529134
dunnhumby,0,frequency,sets2sets,n_baskets,4504,0.1017591625145596,7.640959987207024e-12
dunnhumby,0,frequency,sets2sets,avg_basket_size,4504,0.15914420498587237,6.1854892822197026e-27
dunnhumby,0,frequency,sets2sets,repeat_rate,4504,0.25975567367460856,2.3289509761008532e-70
dunnhumby,0,frequency,sets2sets,adjacent_basket_jaccard,4504,0.239479429824896,9.054707297000723e-60
dunnhumby,0,frequency,sets2sets,recency_frequency_disagreement,4504,0.06350261284676999,1.9999220725520543e-05
dunnhumby,0,frequency,sets2sets,recent_basket_novelty,4504,-0.1672142895294565,1.3335818262905614e-29
dunnhumby,0,frequency,sets2sets,popularity_profile,4504,0.029650467084668137,0.04661487471053911
dunnhumby,0,frequency,sets2sets,neighbor_similarity,4504,0.036787173663384784,0.013548911095320953
dunnhumby,0,frequency,sets2sets,cooccurrence_support,4467,0.02041653733967063,0.1724693222587401
