user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
823,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
5357,10,0.2,0.3333333333333333,0.33916020527361607,0.1,0.2,0.1,0.18181818181818182,0.22009176629808014,0.1,0.1
3366,15,0.2,0.3333333333333333,0.33916020527361607,0.06666666666666667,0.2,0.1,0.18181818181818182,0.22009176629808014,0.06666666666666667,0.1
9933,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
6000,12,0.6,0.7333333333333334,0.6992148198508501,0.25,0.6,0.6,0.6909090909090909,0.674935987555998,0.5,0.6
816,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2136,11,0.2,0.3333333333333333,0.33916020527361607,0.09090909090909091,0.2,0.2,0.23636363636363636,0.2895229882348574,0.18181818181818182,0.2
10094,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
1160,5,0.6,0.6666666666666666,0.6843515475204854,0.6,0.6,0.8,0.625,0.6843515475204854,0.8,0.4
4383,6,0.8,0.9333333333333332,0.8687949224876582,0.6666666666666666,0.8,0.8333333333333334,0.8666666666666667,0.8829374068620365,0.8333333333333334,0.5
7700,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
3415,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5493,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
6453,4,0.25,0.14285714285714288,0.16812753627111746,0.25,0.2,0.25,0.20588235294117643,0.16812753627111746,0.25,0.1
14106,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
17907,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4044,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
13720,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17253,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16476,4,0.25,0.14285714285714288,0.16812753627111746,0.25,0.2,0.25,0.20588235294117643,0.16812753627111746,0.25,0.1
9692,3,0.6666666666666666,0.25,0.23463936301137822,0.6666666666666666,0.4,0.6666666666666666,0.2962962962962963,0.23463936301137822,0.6666666666666666,0.2
6332,6,0.2,0.26666666666666666,0.2139862647345275,0.16666666666666666,0.2,0.16666666666666666,0.2,0.1909208661789346,0.16666666666666666,0.1
4555,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1
18247,3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1
6955,5,0.2,0.3333333333333333,0.33916020527361607,0.2,0.2,0.4,0.25,0.33916020527361607,0.4,0.2
15870,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3581,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
4748,6,0.2,0.3333333333333333,0.33916020527361607,0.16666666666666666,0.2,0.16666666666666666,0.2222222222222222,0.30260241349881345,0.16666666666666666,0.1
1658,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12287,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13401,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1
17650,5,0.4,0.4000000000000001,0.3600546145772339,0.4,0.4,0.4,0.4,0.3600546145772339,0.4,0.2
3595,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
16463,25,0.2,0.06666666666666665,0.13120507751234176,0.04,0.2,0.2,0.18181818181818182,0.15850703974098102,0.08,0.2
6682,4,0.25,0.2142857142857143,0.19519002499605081,0.25,0.2,0.25,0.23529411764705882,0.19519002499605081,0.25,0.1
9542,8,0.8,0.9333333333333332,0.8687949224876582,0.5,0.8,0.5,0.6538461538461539,0.6479396238941381,0.5,0.4
10150,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
14040,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
4451,9,0.2,0.26666666666666666,0.2139862647345275,0.1111111111111111,0.2,0.1111111111111111,0.16666666666666666,0.14829723057014907,0.1111111111111111,0.1
15554,4,0.25,0.0,0.0,0.25,0.2,0.25,0.0,0.0,0.25,0.1
17948,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11809,4,0.25,0.2142857142857143,0.19519002499605081,0.25,0.2,0.75,0.23529411764705882,0.19519002499605081,0.75,0.3
11740,4,0.25,0.2142857142857143,0.19519002499605081,0.25,0.2,0.25,0.23529411764705882,0.19519002499605081,0.25,0.1
8436,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
14541,4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.2
18273,5,0.2,0.26666666666666666,0.2139862647345275,0.2,0.2,0.2,0.225,0.2139862647345275,0.2,0.1
3030,5,0.4,0.6,0.5531464700081437,0.4,0.4,1.0,0.475,0.5531464700081437,1.0,0.5
2196,5,0.2,0.3333333333333333,0.33916020527361607,0.2,0.2,0.2,0.25,0.33916020527361607,0.2,0.1
13125,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.1
14090,7,0.2,0.26666666666666666,0.2139862647345275,0.14285714285714285,0.2,0.14285714285714285,0.18367346938775508,0.17342765698823942,0.14285714285714285,0.1
17951,3,0.6666666666666666,0.75,0.7653606369886217,0.6666666666666666,0.4,0.6666666666666666,0.7037037037037036,0.7653606369886217,0.6666666666666666,0.2
4840,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
6791,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17242,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6204,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5059,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
10339,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4469,3,0.6666666666666666,0.5833333333333334,0.5307212739772434,0.6666666666666666,0.4,0.6666666666666666,0.6296296296296297,0.5307212739772434,0.6666666666666666,0.2
7546,2,0.5,0.4444444444444445,0.3868528072345415,0.5,0.2,0.5,0.4736842105263158,0.3868528072345415,0.5,0.1
17847,4,0.5,0.5,0.4414924137367807,0.5,0.4,0.75,0.5,0.4414924137367807,0.75,0.3
14592,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
9225,4,0.25,0.28571428571428575,0.2463023887407299,0.25,0.2,0.25,0.2647058823529412,0.2463023887407299,0.25,0.1
3735,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11123,5,0.2,0.13333333333333333,0.14606834984270645,0.2,0.2,0.2,0.175,0.14606834984270645,0.2,0.1
6231,3,0.3333333333333333,0.0,0.0,0.3333333333333333,0.2,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1
3170,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
17029,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7583,5,0.2,0.26666666666666666,0.2139862647345275,0.2,0.2,0.4,0.225,0.2139862647345275,0.4,0.2
6269,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2399,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
5665,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15345,4,0.25,0.14285714285714288,0.16812753627111746,0.25,0.2,0.25,0.20588235294117643,0.16812753627111746,0.25,0.1
4637,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11731,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3311,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
3889,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
11274,3,0.3333333333333333,0.4166666666666667,0.46927872602275644,0.3333333333333333,0.2,0.3333333333333333,0.37037037037037035,0.46927872602275644,0.3333333333333333,0.1
9371,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
917,11,0.6,0.6,0.6399453854227659,0.2727272727272727,0.6,0.6,0.6181818181818182,0.6306637463657283,0.5454545454545454,0.6
15867,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9333,8,0.2,0.13333333333333333,0.14606834984270645,0.125,0.2,0.25,0.21153846153846154,0.19325072687364162,0.25,0.2
3590,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1413,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
6159,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6002,13,0.0,0.0,0.0,0.0,0.0,0.2,0.12727272727272726,0.14465249243306436,0.15384615384615385,0.2
12876,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16498,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14567,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4176,5,0.2,0.13333333333333333,0.14606834984270645,0.2,0.2,0.2,0.175,0.14606834984270645,0.2,0.1
1669,19,0.0,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.07839826897867533,0.05263157894736842,0.1
12009,7,0.2,0.3333333333333333,0.33916020527361607,0.14285714285714285,0.2,0.14285714285714285,0.2040816326530612,0.27487633291429087,0.14285714285714285,0.1
10699,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2
9121,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
363,3,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.3
14664,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7318,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
13182,3,0.6666666666666666,0.6666666666666667,0.7039180890341346,0.6666666666666666,0.4,0.6666666666666666,0.6666666666666666,0.7039180890341346,0.6666666666666666,0.2
1162,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11219,4,0.25,0.0,0.0,0.25,0.2,0.25,0.0,0.0,0.25,0.1
14256,5,0.4,0.4000000000000001,0.3600546145772339,0.4,0.4,0.4,0.4,0.3600546145772339,0.4,0.2
17733,3,0.3333333333333333,0.0,0.0,0.3333333333333333,0.2,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1
3133,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17162,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
16967,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
17748,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2528,3,0.6666666666666666,0.75,0.7653606369886217,0.6666666666666666,0.4,1.0,0.7037037037037036,0.7653606369886217,1.0,0.3
840,4,0.25,0.2142857142857143,0.19519002499605081,0.25,0.2,0.25,0.23529411764705882,0.19519002499605081,0.25,0.1
9775,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15167,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4281,6,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.1
7426,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8791,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
